PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
,Cherry intake,energy intake,Medium,EFO_0003939,
,Cherry intake,fish consumption measurement,Medium,EFO_0010139,
,"Non-cancer illness code, self-reported: appendicitis","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: appendicitis",appendicitis,Medium,EFO_0007149,
disease,"Benign neoplasm of colon, rectum, anus and anal canal",anal neoplasm,High,EFO_0003835,
,Vitamin and/or mineral supplement use: Other vitamin,vitamin supplement exposure measurement,Good,EFO_0009116,
,Average weekly red wine intake,red wine liking measurement,Medium,EFO_0006947,
,Average weekly red wine intake,energy intake,Medium,EFO_0003939,
disease,Acquired absence of other parts of digestive tract,diverticulitis,Good,EFO_1001460,
,Other/unspecified dorsalgia,schizophrenia,Medium,EFO_0000692,
,Other/unspecified dorsalgia,anthrax infection,Medium,EFO_0000778,
disease,"Dental caries, unspecified",dental caries,Good,EFO_0003819,
,Loneliness  isolation,loneliness measurement,Good,EFO_0007865,
,PCT where patients GP was registered: SOLIHULL PCT,platelet crit,Good,EFO_0007985,
,Pulse wave peak to peak time,TpTe measurement,Medium,EFO_0008334,
,Pulse wave peak to peak time,peak insulin response measurement,Medium,EFO_0008000,
treatment,meloxicam,N/A,Did not map,N/A,
,PCT where patients GP was registered: SHEFFIELD WEST PCT,platelet crit,Good,EFO_0007985,
disease,Other specified disorders of male genital organs,male reproductive organ cancer,Medium,EFO_0007355,
disease,Other specified disorders of male genital organs,glaucoma,Medium,EFO_0000516,
disease,Cholelithiasis,cholelithiasis,High,EFO_0004799,
disease,Unspecified acute lower respiratory infection,lower respiratory tract disease,High,EFO_0009433,
,PCT where patients GP was registered: TRAFFORD NORTH PCT,platelet crit,Good,EFO_0007985,
,Pulse rate  automated reading,heart rate,Good,EFO_0004326,
,Cancer code  self-reported: basal cell carcinoma,basal cell carcinoma,Good,EFO_0004193,
,Testosterone,testosterone,High,CHEBI_17347,
,PCT responsible for patient data: BARNSLEY PCT,platelet crit,Good,EFO_0007985,
,Years since last cervical smear test,abnormal PAP smear,Medium,EFO_0009511,
,Years since last cervical smear test,pack-years measurement,Medium,EFO_0006526,
,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin",insulin-resistant diabetes mellitus,Medium,EFO_0010164,
,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin",blood pressure,Medium,EFO_0004325,
,Job coding: secondary school teacher or teaching professional (including head teacher),job satisfaction measurement,Medium,EFO_0009723,
,Job coding: secondary school teacher or teaching professional (including head teacher),job-related exhaustion measurement,Medium,EFO_0007881,
,Non-cancer illness code  self-reported: osteoporosis,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: osteoporosis,osteoporosis,Medium,EFO_0003882,
,Qualifications: CSEs or equivalent,N/A,Did not map,N/A,
,PCT responsible for patient data: NORTHUMBERLAND CARE TRUST,platelet crit,Good,EFO_0007985,
,Cardiac surgery,"response to surgery, post-operative stroke",Medium,"EFO_0009951, EFO_0009956",
,Cardiac surgery,"post-operative delirium, response to surgery",Medium,"EFO_0009954, EFO_0009951",
,Cardiac surgery,"response to surgery, post-operative sign or symptom",Medium,"EFO_0009951, EFO_0005323",
,Cardiac surgery,response to surgery,Medium,EFO_0009951,
,Cardiac surgery,post-operative sign or symptom,Medium,EFO_0005323,
,Cardiac surgery,"post-operative atrial fibrillation, response to surgery",Medium,"EFO_0009952, EFO_0009951",
,Cardiac surgery,"response to surgery, post-operative acute kidney injury",Medium,"EFO_0009951, EFO_0009955",
,Cardiac surgery,post-operative acute kidney injury,Medium,EFO_0009955,
,Cardiac surgery,"post-operative myocardial infarction, response to surgery",Medium,"EFO_0009953, EFO_0009951",
treatment,salmeterol product,response to salmeterol,Good,EFO_0010062,
,Non-cancer illness code  self-reported: hypertension,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: hypertension,hypertension,Medium,EFO_0000537,
treatment,flecainide,N/A,Did not map,N/A,
,Contemplated self-harm in past year,year,Medium,UO_0000036,
,Contemplated self-harm in past year,Self-injurious behavior,Medium,HP_0100716,
disease,Other disorders of synovium and tendon,Tenosynovitis,High,EFO_1001435,
,"Job coding: other science technician, materials technician, technical assistant, technical officer",technician,Medium,EFO_0009739,
,"Job coding: other science technician, materials technician, technical assistant, technical officer",technical replicate,Medium,EFO_0002090,
disease,Diaphragmatic hernia,diaphragmatic hernia,High,EFO_0008561,
,Job SOC coding: Local government clerical officers and assistants,N/A,Did not map,N/A,
,Crumbed or deep-fried poultry intake,energy intake,Medium,EFO_0003939,
,Crumbed or deep-fried poultry intake,fish consumption measurement,Medium,EFO_0010139,
treatment,vitamin b12 preparation,vitamin B12 measurement,Good,EFO_0004620,
,Vitamin and mineral supplements: Vitamin A,N/A,Did not map,N/A,
,Chest pain or discomfort,Chest pain,High,HP_0100749,
,PCT where patients GP was registered: GREATER DERBY PCT,platelet crit,Good,EFO_0007985,
disease,Angiocardiography of left side of heart NEC,cardiovascular disease,Good,EFO_0000319,
disease,Percutaneous transluminal balloon angioplasty of one coronary artery,coronary artery disease,Good,EFO_0000378,
,Number of baguettes with butter/margarine,Immunodeficiency with isotype or light chain deficiencies with normal number of B-cells,Medium,Orphanet_331232,
,Number of baguettes with butter/margarine,Immunodeficiency with severe reduction in serum IgG and IgA with normal/elevated IgM and normal number of B-cells,Medium,Orphanet_331240,
,"Job coding: educational assistant, classroom assistant, special needs helper",job-related exhaustion measurement,Medium,EFO_0007881,
,"Job coding: educational assistant, classroom assistant, special needs helper",self reported educational attainment,Medium,EFO_0004784,
,Malignant neoplasm of corpus uteri,uterine corpus cancer,High,EFO_0007532,
,Duration walking for pleasure,duration,Good,EFO_0000433,
,Light smokers  at least 100 smokes in lifetime,decreased anxiety-related response,Medium,EFO_0009874,
,Light smokers  at least 100 smokes in lifetime,light,Medium,EFO_0000568,
treatment,termination of pregnancy/top,pregnancy disorder,Good,EFO_0009682,
,6mm regularity index (left),left ventricular mass index,Medium,EFO_0009290,
,6mm regularity index (left),IgG index,Medium,EFO_0006929,
,Wheeze or whistling in the chest in last year,wheezing,High,EFO_0009715,
,PCT where patients GP was registered: BUCKINGHAMSHIRE PCT,platelet crit,Good,EFO_0007985,
,Trunk fat-free mass,fat body mass,Medium,EFO_0005409,
,Trunk fat-free mass,lean mass-adjusted fat body mass,Medium,EFO_0009890,
,PCT where patients GP was registered: BRISTOL NORTH PCT,platelet crit,Good,EFO_0007985,
,Job SOC coding: Shopkeepers and wholesale/retail dealers,N/A,Did not map,N/A,
,Peripheral artery disease,peripheral arterial disease,High,EFO_0004265,
,Ever had hysterectomy (womb removed),hysterectomy,High,EFO_0003881,
,Interval between previous point and current one in alphanumeric path (trail #2),N/A,Did not map,N/A,
,Type of meals eaten: Restaurant meals,"Dysplasia of head of femur, Meyer type",Medium,Orphanet_168621,
,Type of meals eaten: Restaurant meals,cornea,Medium,UBERON_0000964,
,"Major dietary changes in the last 5 years: Yes, because of illness",Febrile seizure (within the age range of 3 months to 6 years),Medium,HP_0002373,
,"Major dietary changes in the last 5 years: Yes, because of illness",neoplasm of major salivary gland,Medium,MONDO_0021368,
,Fruitcake intake,energy intake,Medium,EFO_0003939,
,Fruitcake intake,fish consumption measurement,Medium,EFO_0010139,
,Mother's age at death,mother's age at death,High,EFO_0009721,
,Tense / 'highly strung',feeling tense measurement,High,EFO_0009596,
disease,Follow-up examination after treatment for malignant neoplasm,follow-up,High,EFO_0009642,
,Cereal type: Muesli,material entity,Medium,BFO_0000040,
,Cereal type: Muesli,specimen with known storage state,Medium,OBI_0001472,
,Naan bread intake,energy intake,Medium,EFO_0003939,
,Naan bread intake,fish consumption measurement,Medium,EFO_0010139,
,Factors influencing health status and contact with health services,N/A,Did not map,N/A,
,3mm strong meridian angle (left),angle unit,Medium,UO_0000121,
,3mm strong meridian angle (left),degree,Medium,UO_0000185,
disease,"Leiomyoma of uterus, unspecified",uterine fibroid,Good,EFO_0000731,
treatment,stomach surgery,prophylactic surgery,Good,EFO_0009580,
,Job involves mainly walking or standing,Difficulty standing,Medium,HP_0003698,
,Job involves mainly walking or standing,Toe walking,Medium,HP_0040083,
,"Job coding: senior official in local government including parish or town or county chief clerk, chief or superintendent rate collector, chief executive or director, councillor",executive function,Medium,EFO_0007046,
,"Job coding: senior official in local government including parish or town or county chief clerk, chief or superintendent rate collector, chief executive or director, councillor",cognitive inhibition measurement,Medium,EFO_0007969,
,Variation in diet,low fat diet,Medium,EFO_0002758,
,Variation in diet,diet,Medium,EFO_0002755,
,Number of self-reported non-cancer illnesses,"number of non-cancer illnesses, self-reported",High,EFO_0009801,
,Job involves shift work,job satisfaction measurement,Medium,EFO_0009723,
,Job involves shift work,job-related exhaustion measurement,Medium,EFO_0007881,
,Type of bread roll eaten: wholemeal,"Dysplasia of head of femur, Meyer type",Medium,Orphanet_168621,
,Type of bread roll eaten: wholemeal,cornea,Medium,UBERON_0000964,
,Canned soup intake,energy intake,Medium,EFO_0003939,
,Canned soup intake,fish consumption measurement,Medium,EFO_0010139,
disease,Rectal polyp,polyp of rectum,Good,MONDO_0021398,
disease,Haemorrhoidectomy,N/A,Did not map,N/A,
,Ever had laser treatment for glaucoma or high eye pressure: No,hypertension,Good,EFO_0000537,
,Main speciality of consultant (recoded): Geriatric medicine,consultant,Good,EFO_0001732,
,Qualifications: None of the above,esophageal carcinoma,Good,EFO_0002916,
,Non-cancer illness code  self-reported: anxiety/panic attacks,panic disorder,Medium,EFO_0004262,
,Non-cancer illness code  self-reported: anxiety/panic attacks,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
disease,Injection of local anaesthetic NEC,Pancreatic Large Cell Neuroendocrine Carcinoma,Medium,EFO_1000442,
disease,Injection of local anaesthetic NEC,Pancreatic Small Cell Neuroendocrine Carcinoma,Medium,EFO_1000444,
,Which eye(s) affected by presbyopia: Both eyes,Deeply set eye,Medium,HP_0000490,
,Which eye(s) affected by presbyopia: Both eyes,Setting-sun eye phenomenon,Medium,HP_0012470,
,Fed-up feelings,emotional symptom measurement,High,EFO_0007803,
,Destinations on discharge from hospital (recoded): Transfer within NHS provider: Surgical specialty,eye discharge,Good,EFO_0010678,
,General surgery,prophylactic surgery,Good,EFO_0009580,
,"Asthma, hospital admissions 1",asthma,Medium,EFO_0000270,
,"Asthma, hospital admissions 1",atopic asthma,Medium,EFO_0010638,
disease,Polypectomy of internal nose,nasal disorder,Medium,MONDO_0002436,
disease,Polypectomy of internal nose,internal hordeolum,Medium,MONDO_0004917,
,"Job coding: receptionist, doctor's/dental receptionist",job satisfaction measurement,Medium,EFO_0009723,
,"Job coding: receptionist, doctor's/dental receptionist",job-related exhaustion measurement,Medium,EFO_0007881,
,"Job coding: mechanical engineer, automobile engineer, aeronautical engineer, locomotive or marine engineer, welding engineer",mechanical dissociation,Good,EFO_0009129,
,"Non-cancer illness code, self-reported: tuberculosis (tb)",pulmonary tuberculosis,Medium,EFO_1000049,
,"Non-cancer illness code, self-reported: tuberculosis (tb)","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
treatment,codeine,C1837160,Good,C1837160,
disease,Other physical therapy,physical urticaria,Medium,EFO_1000754,
disease,Other physical therapy,cataract,Medium,EFO_0001059,
,Transport type for commuting to job workplace: Public transport,transport,Medium,GO_0006810,
,Transport type for commuting to job workplace: Public transport,rare male fertility disorder with obstructive azoospermia,Medium,MONDO_0018396,
,Main speciality of consultant (recoded): Endocrinology,consultant,Good,EFO_0001732,
,PCT where patients GP was registered: LIVERPOOL PCT,platelet crit,Good,EFO_0007985,
,Fed-up feelings,emotional symptom measurement,High,EFO_0007803,
disease,Removal of prosthesis from organ NOC,male reproductive organ cancer,Medium,EFO_0007355,
disease,Removal of prosthesis from organ NOC,intrathoracic organ injury,Medium,EFO_0009887,
,Maximum digits remembered correctly,Mirror image polydactyly,Medium,HP_0010689,
,Maximum digits remembered correctly,Proportionate shortening of all digits,Medium,HP_0006165,
,Hand grip strength (right),grip strength measurement,High,EFO_0006941,
,Infectious diseases,Nematoda infectious disease,Medium,EFO_0007391,
,Infectious diseases,infectious disease,Medium,EFO_0005741,
,"Non-cancer illness code, self-reported: hypertension","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: hypertension",hypertension,Medium,EFO_0000537,
,Ongoing addiction to alcohol,response to alcohol,Medium,EFO_0005526,
,Ongoing addiction to alcohol,alcoholic cardiomyopathy,Medium,EFO_1000801,
,Squash intake,energy intake,Medium,EFO_0003939,
,Squash intake,fish consumption measurement,Medium,EFO_0010139,
disease,Epidermal cyst,Epidermal Inclusion Cyst,Good,EFO_1000243,
,Types of spread used on bread/crackers: Butter on bread/crackers,Episcleritis,Medium,HP_0100534,
,Types of spread used on bread/crackers: Butter on bread/crackers,depends on,Medium,RO_0002502,
disease,Acute pericarditis,pericarditis,High,EFO_0007427,
,Job SOC coding: Medical secretaries,job-related exhaustion measurement,Medium,EFO_0007881,
,Job SOC coding: Medical secretaries,job satisfaction measurement,Medium,EFO_0009723,
,Workplace full of chemical or other fumes: Rarely/never,response to gases and fumes exposure,Good,EFO_0006994,
